ModelName,SubSystem,BlockName,BlockType,MutationClass,Parameter,OriginalValue,MutationValue,FullPath
HelicopterSystem,ActuatorLoop,Sum,Sum,OneSpaceSumMutationIterator,Inputs,|-+,|--,ActuatorLoop/Sum
HelicopterSystem,ActuatorLoop,Sum,Sum,OneSpaceSumMutationIterator,Inputs,|-+,|++,ActuatorLoop/Sum
HelicopterSystem,ActuatorLoop,Sum,Sum,OneSpaceSumMutationIterator,Inputs,|-+,|+-,ActuatorLoop/Sum
HelicopterSystem,Heli_inner_loop,Sum4,Sum,OneSpaceSumMutationIterator,Inputs,|+-,|-+,Heli_inner_loop/Sum4
HelicopterSystem,Heli_inner_loop,Sum4,Sum,OneSpaceSumMutationIterator,Inputs,|+-,|--,Heli_inner_loop/Sum4
HelicopterSystem,Heli_inner_loop,Sum4,Sum,OneSpaceSumMutationIterator,Inputs,|+-,|++,Heli_inner_loop/Sum4
HelicopterSystem,Heli_inner_loop,Sum5,Sum,OneSpaceSumMutationIterator,Inputs,|+-,|-+,Heli_inner_loop/Sum5
HelicopterSystem,Heli_inner_loop,Sum5,Sum,OneSpaceSumMutationIterator,Inputs,|+-,|--,Heli_inner_loop/Sum5
HelicopterSystem,Heli_inner_loop,Sum5,Sum,OneSpaceSumMutationIterator,Inputs,|+-,|++,Heli_inner_loop/Sum5
HelicopterSystem,Heli_inner_loop,Sum6,Sum,OneSpaceSumMutationIterator,Inputs,|+-,|-+,Heli_inner_loop/Sum6
HelicopterSystem,Heli_inner_loop,Sum6,Sum,OneSpaceSumMutationIterator,Inputs,|+-,|--,Heli_inner_loop/Sum6
HelicopterSystem,Heli_inner_loop,Sum6,Sum,OneSpaceSumMutationIterator,Inputs,|+-,|++,Heli_inner_loop/Sum6
HelicopterSystem,Heli_outer_loop,Sum,Sum,OneSpaceSumMutationIterator,Inputs,|+-,|-+,Heli_outer_loop/Sum
HelicopterSystem,Heli_outer_loop,Sum,Sum,OneSpaceSumMutationIterator,Inputs,|+-,|--,Heli_outer_loop/Sum
HelicopterSystem,Heli_outer_loop,Sum,Sum,OneSpaceSumMutationIterator,Inputs,|+-,|++,Heli_outer_loop/Sum
HelicopterSystem,Heli_outer_loop,Sum1,Sum,OneSpaceSumMutationIterator,Inputs,|+-,|-+,Heli_outer_loop/Sum1
HelicopterSystem,Heli_outer_loop,Sum1,Sum,OneSpaceSumMutationIterator,Inputs,|+-,|--,Heli_outer_loop/Sum1
HelicopterSystem,Heli_outer_loop,Sum1,Sum,OneSpaceSumMutationIterator,Inputs,|+-,|++,Heli_outer_loop/Sum1
HelicopterSystem,Heli_outer_loop,Sum2,Sum,OneSpaceSumMutationIterator,Inputs,|+-,|-+,Heli_outer_loop/Sum2
HelicopterSystem,Heli_outer_loop,Sum2,Sum,OneSpaceSumMutationIterator,Inputs,|+-,|--,Heli_outer_loop/Sum2
HelicopterSystem,Heli_outer_loop,Sum2,Sum,OneSpaceSumMutationIterator,Inputs,|+-,|++,Heli_outer_loop/Sum2
HelicopterSystem,Heli_outer_loop,Sum3,Sum,OneSpaceSumMutationIterator,Inputs,|++,|+-,Heli_outer_loop/Sum3
HelicopterSystem,Heli_outer_loop,Sum3,Sum,OneSpaceSumMutationIterator,Inputs,|++,|-+,Heli_outer_loop/Sum3
HelicopterSystem,Heli_outer_loop,Sum3,Sum,OneSpaceSumMutationIterator,Inputs,|++,|--,Heli_outer_loop/Sum3
